PREÇO 3.599
NFC	Não
Conexões	4G
Peso liq. aproximado do produto (Kg)	202g
Banda	3G/4G
Tipo de Tela	Retina Display
Tipo de Chip	Nano Chip
Memória RAM	3GB
Referência do Modelo	MQ8M2BR/A
Filmadora	4K
Cor	
Sistema Operacional	Iphone IOS
Outros Recursos	N/A
Recursos de chamada	Viva Voz
Multichip	Single Chip
Fabricante	Apple Cimputer Brasil
Versão S.O.	iOS 12
Memória Interna	64GB
Expansivo até?	Não possui entrada para cartão de memória
Câmera frontal	7MP
Dimensões do produto - cm (AxLxP)	0,7x7,8x15,8cm
SAC	0800-761-0867
Processador	Chip A11 Bionic
Câmera traseira	12MP
Tamanho do Display	5.5"
Sintonizador de TV	Não possui
Conteúdo da Embalagem	iPhone com iOS 12, EarPods com conector Lightning, Cabo de Lightning para USB Carregador USB Documentação
Garantia do Fornecedor	12 Meses
Resolução	1920x1080
Modelo	iPhone 8 Plus 64GB Silver
Alimentação, tipo de bateria	Lightning/Íon de lítio
