PREÇO 3.299
Marca	Apple
Modelo	IPHONE 8 
Cor	
Tipo de Chip	Nano Chip
Quantidade de Chips	Single Chip
Memória Interna	2GB
Processador	A11 Bionic com arquitetura de 64 bits ; Processador neural ; Coprocessador de movimento M11 integrado
Sistema Operacional	Iphone IOS
Versão	iOS 11
Tipo de tela	Retina Display
Tamanho do Display	4.7"
Resolução	1334 x 750 pixel
Câmera traseira	12MP
Câmera frontal	7MP
Filmadora	4K
Expansivo até	Não possui entrada para cartão de memória
Alimentação/Tipo de bateria	Íons de lítio
Banda	LTE (Bandas 1, 2, 3, 4, 5, 8, 12, 13, 17, 18, 19, 20, 25, 26, 29) CDMA EV-DO Rev. A (800, 1700/2100, 1900, 2100MHz) UMTS/HSPA+/DC-HSDPA (850, 900, 1700/2100, 1900, 2100MHz) GSM/EDGE (850, 900, 1800, 1900MHz)
Conectividade	Wi-Fi, 3G, 4G
NFC	Sim
TV	Digital
Recursos de Chamada	Viva Voz
Conteúdo da Embalagem	iPhone; EarPods com conector Lightning; Cabo Lightning para USB; e Carregador USB de 5W
Dimensões aproximadas do produto - cm (AxLxP)	13,8x6,7x0,7cm
Peso líq. aproximado do produto (kg)	148g
Garantia do Fornecedor	Contra Defeitos de Fabricação
Referência do modelo	MQ6G2BR/A
Fornecedor	Apple Computer Brasil
