PREÇO 1.299
Marca	Motorola
Modelo	XT1941-3
Cor	
Tipo de Chip	Nano Chip
Quantidade de Chips	Dual Chip
Memória Interna	64GB
Memória RAM	4GB
Processador	2.0 GHz Octa-Core Qualcomm Snapdragon 625 (MSM8953)
Sistema Operacional	Android
Versão	Android Oreo - 8.1
Tipo de tela	LCD IPS
Tamanho do Display	5.9"
Resolução	HD+ - 720 x 1440 (720 x 1520 incluindo o notch)
Câmera traseira	13MP Dual Cam
Câmera frontal	8MP
Filmadora	4K
Expansivo até	MicroSD até 256GB
Alimentação/Tipo de bateria	3000 mAh
Banda	2G - GSM 850/900/1800/1900 MHz; 3G - WCDMA 850/900/1700/1900/2100 MHz; 4G - LTE B1(2100), B2(1900), B3(1800), B4(1700/2100), B5(850), B7(2600), B8(900), B28(700)
Conectividade	Wi-Fi, 3G, 4G
NFC	Sim
TV	Não
Recursos de Chamada	Chamada por Voz
Conteúdo da Embalagem	1 Telefone black, 1 capa protetora, 1 kit de manuais, 1 cabo de sincronização, 1 fone de ouvido estéreo, 1 carregador de parede turbopower, 1 ferramenta de remoção do sim (chip)
Dimensões aproximadas do produto - cm (AxLxP)	14,9x7,2x0,7cm
Peso líq. aproximado do produto (kg)	162g
Garantia do Fornecedor	12 Meses
Referência do modelo	XT1941-3
Fornecedor	Flexitronics Internacional Tecnologia LTDA
