PREÇO 399,99

Material/Composição	Plástico injetado
Referência do Modelo	TF5-00002
SAC do Fabricante	0800 891 9835
Peso liq. do produto (Kg)	540g
Alimentação	Pilha
Conexões	Bluetooth
Funcionalidade	Controle sem fio
Dimensões aproximadas da embalagem (cm) - AxLxP	17x7x17cm
Peso Aproximado da Embalagem do produto (kg)	350g
Características	Equipe-se com o Controle sem fio Xbox, com um design elegante o e maior conforto. Aproveite o mapeamento de botões personalizado e até o dobro do alcance sem fio. Conecte qualquer fone de ouvido compatível com a entrada de fone de ouvido estéreo de 3,5 mm. E, com a tecnologia Bluetooth®, divirta-se com seus jogos favoritos em computadores e tablets Windows 10.*
Plataforma	Xbox One
Conteúdo da Embalagem	1 controle, garantia
Garantia do Fornecedor	3 Meses
Dimensões do produto - cm (AxLxP)	19.6x17,7x17,5cm
Fabricante	Microsoft
