PREÇO 350,00

Marca	Philco
Mídias de reprodução	Bluetooth
Formatos compatíveis	MP3
Características do display	Não possui display
Potência RMS	20
Funções	Função Hands Free para atendimento de chamadas
Conexões	Bluetooth 4.1; Entrada micro USB para carregamento de bateria; Entrada auxiliar de áudio estéreo PC/AUX IN (P2)
Cor	Preto
Rádio	FM
Memória para estações	Não possui rádio
Alimentação	Bateria
Voltagem	Bivolt
Garantia do Fornecedor	12 Meses
Conteúdo da embalagem	Produto, manual do usuário, cabo USB e cordão
Dimensões aproximadas do produto (AxLxP)	7,2x17,3x7cm
Peso liq. aproximado do produto (kg)	500g
Referência do modelo	5.6603745E7
Fornecedor	Britânia
