PREÇO 189,00

Garantia do Fornecedor	Contra Defeitos de Fabricação
Dimensões do produto - cm (AxLxP)	18,5x4x13,5cm
Peso liq. aproximado do produto (Kg)	132g
Referência do Modelo	SHB3075BK/00
Modelo	ON-EAR
SAC do Fabricante	Grande São Paulo, ligue para (11) 2938-0245 / Outras localidades, ligue para 0800-701-0245 de segunda a sexta-feira, das 08h às 20h.
Extensão do Cabo	n/a
Microfone	Sim
Controle do Volume	Sim
Sistema Acústico	Fechado
Cancelamento de Ruído	Não
Cor - ficha técnica	Preto
Conteúdo da Embalagem	1 HEADPHONE SHB3075BK/00
Impedância	32
Tipo de Fone	Headphone
Sensibilidade	103dB
Fabricante	Philips
Bluetooth	Sim
Conector	SEM FIO
Frequência	09-21.000 Hz
Potência Máxima	40mW
