PREÇO 599,00

Referência do Modelo	SM-R170
Recursos/Funcionalidades	Não informado pelo fabricante
Conteúdo da embalagem	Fones de ouvido, estojo carregador, cabo USB Tipo C, adaptadores intra e extra auriculares e guia de uso rápido
Dimensões Produto - cm (AxLxP)	1,9x1,7x2,2cm
Peso liq. da embalagem c/ produto (Kg)	41g
Peso liq. do produto (Kg)	6g
Material/Composição	Não informado pelo fabricante
SAC	4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões)
Alimentação	-
Dimensões Embalagem - cm (AxLxP)	2,6x7x3,8cm
Cor - ficha técnica	Preto
Fabricante	Samsung
Mais informações	-
Modelo	Fone Wireless - Galaxy Buds
Garantia do Fornecedor	3 Meses
Aparelhos compatíveis	Compatível com smartphones Android 5.0 ou superior e memória RAM de 1.5GB ou superior.
