PREÇO 3.699
Marca	Apple
Modelo	Iphone X Space Gray 64GB-BRA
Cor	Cinza
Tipo de Chip	Nano Chip
Quantidade de Chips	Single Chip
Memória Interna	64GB
Memória RAM	2GB
Processador	A11 Bionic com arquitetura de 64 bits, Processador neural, Coprocessador de movimento M11 integrado
Sistema Operacional	Iphone IOS
Versão	11
Tipo de tela	OLED
Tamanho do Display	5.8"
Resolução	Resolução de 2436 x 1125 pixels a 458 ppp
Câmera traseira	12MP
Câmera frontal	7MP
Filmadora	4K
Expansivo até	Não possui entrada para cartão de memória
Alimentação/Tipo de bateria	Cabo Lightning / Sem fio (funciona com carregadores padrão Qi), Bateria interna recarregável de íon de lítio
Banda	FDD-LTE (Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 66)TD-LTE (Bandas 34, 38, 39, 40, 41)
Conectividade	Wi-Fi, 3G, 4G
NFC	Sim
TV	Digital
Recursos de Chamada	Video Conferência
Conteúdo da Embalagem	1 iPhone; 1 Adaptador de Lightning para conector de fones de ouvido de 3,5 mm; 1 Cabo de Lightning para USB; 1 Carregador USB e Manual de instruções
Dimensões aproximadas do produto - cm (AxLxP)	0,7x7,9x14,3cm
Peso líq. aproximado do produto (kg)	174g
Garantia do Fornecedor	12 Meses
Referência do modelo	iPhone X Cinza Espacial 64GB
Fornecedor	Apple Computer Brasil
