PREÇO 949
Tipo de Chip	Nano Chip
Sistema Operacional	Android
Versão S.O.	Android 9.0
Tipo de Tela	TFT FHD
Tamanho do Display	6.2"
Resolução	720 x 1560 (HD+)
Multichip	Dual Chip
Dimensões do produto - cm (AxLxP)	156,9x75,8x7,8cm
Peso liq. aproximado do produto (Kg)	168g
Referência do Modelo	Galaxy A10s
SAC do Fabricante	4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões)
Câmera traseira	13MP+2MP
Câmera frontal	8MP
Filmadora	Full HD
Sintonizador de TV	Não possui
NFC	Sim
Processador	Octa-Core
Memória RAM	2GB
Memória Interna	32GB
Expansivo até?	MicroSD até 512GB
Banda	B1(2100),B2(1900),B4(AWS),B5(850),B8(900)
Conexões	Wi-Fi,3G,4G
Recursos de chamada	Viva Voz
Alimentação, tipo de bateria	Bateria de Íons de Lítio de 4000 mAh
Modelo	SM-A107M/32DL
Cor 
Conteúdo da Embalagem	Aparelho celular, carregador, cabo USB, fone de ouvido, Extrator de Chip e manual do usuário
Garantia do Fornecedor	12 Meses
Fabricante	Samsung
