PREÇO 1.199
Fabricante	Samsung
Expansivo até?	MicroSD até 512GB
Banda	B1(2100),B2(1900),B4(AWS),B5(850),B8(900)
Conexões	Wi-Fi,3G,4G
Recursos de chamada	Viva Voz
Alimentação, tipo de bateria	Bateria de Íons de Lítio de 4000 mAh Bivolt
Modelo	SM-A207M/32DL
Cor	
Conteúdo da Embalagem	Aparelho celular, carregador, cabo USB, fone de ouvido, Extrator de Chip e manual do usuário
Garantia do Fornecedor	12 Meses
Dimensões do produto - cm (AxLxP)	16,3x7,7x0,8cm
Peso liq. aproximado do produto (Kg)	178g
Referência do Modelo	Galaxy A20s
SAC	4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões)
Tipo de Chip	Nano Chip
Sistema Operacional	Android
Versão S.O.	Android 9.0
Tipo de Tela	TFT FHD
Tamanho do Display	6.5''
Resolução	720 x 1560 (HD+)
Multichip	Dual Chip
Câmera traseira	13.0 MP + 5.0 MP + 5.0 MP (UW)
Câmera frontal	8MP
Filmadora	Full HD
Sintonizador de TV	Não possui
NFC	Não
Processador	Octa-Core 1.8 GHz
Memória RAM	3GB
Memória Interna	32GB
