PREÇO 299,00

Conexões	1 PORTA MICRO USB
Voltagem 2	5V
Funcionalidade	NÃO SE APLICA
Dimensões aproximadas da embalagem (cm) - AxLxP	18,41 X 17,14 X 6,35
Peso Aproximado da Embalagem do produto (kg)	0,335
Plataforma	PlayStation 4
Conteúdo da Embalagem	1 Controle sem fio DUALSHOCK 4 1 Manual de instruções
Garantia do Fornecedor	3 Meses
Dimensões do produto - cm (AxLxP)	18,41 X 17,14 X 6,35
Material/Composição	POLIETILENO
Referência do Modelo	CUH-ZCT2U
SAC do Fabricante	0800-888-7669
Fabricante	SONY
Peso liq. do produto (Kg)	0,335
